q2_bin,q2,w_bin,w,value,error
5,2.8250e+00,19,1.5625e+00,1.5801e-03,5.8873e-05
5,2.8250e+00,20,1.5875e+00,1.6483e-03,6.1210e-05
5,2.8250e+00,21,1.6125e+00,1.6223e-03,5.8096e-05
5,2.8250e+00,22,1.6375e+00,1.7293e-03,5.9176e-05
5,2.8250e+00,23,1.6625e+00,2.0983e-03,6.8403e-05
5,2.8250e+00,24,1.6875e+00,2.3809e-03,7.5089e-05
5,2.8250e+00,25,1.7125e+00,2.4418e-03,7.3358e-05
5,2.8250e+00,26,1.7375e+00,2.2096e-03,6.5570e-05
5,2.8250e+00,27,1.7625e+00,2.3958e-03,7.3094e-05
5,2.8250e+00,28,1.7875e+00,2.4338e-03,7.3781e-05
5,2.8250e+00,29,1.8125e+00,2.4498e-03,7.2948e-05
5,2.8250e+00,30,1.8375e+00,2.2792e-03,6.6469e-05
5,2.8250e+00,31,1.8625e+00,2.3976e-03,6.8605e-05
5,2.8250e+00,32,1.8875e+00,2.5563e-03,7.3384e-05
5,2.8250e+00,33,1.9125e+00,2.6019e-03,7.2407e-05
5,2.8250e+00,34,1.9375e+00,2.6757e-03,7.3105e-05
5,2.8250e+00,35,1.9625e+00,2.8684e-03,7.8503e-05
5,2.8250e+00,36,1.9875e+00,2.8688e-03,7.7799e-05
5,2.8250e+00,37,2.0125e+00,2.7390e-03,7.3421e-05
5,2.8250e+00,38,2.0375e+00,2.9038e-03,7.6574e-05
5,2.8250e+00,39,2.0625e+00,3.0800e-03,8.1433e-05
5,2.8250e+00,40,2.0875e+00,2.8939e-03,7.4974e-05
6,3.0750e+00,1,1.1125e+00,6.0243e-05,1.0357e-05
6,3.0750e+00,2,1.1375e+00,1.3978e-04,1.9231e-05
6,3.0750e+00,3,1.1625e+00,2.2150e-04,2.4233e-05
6,3.0750e+00,4,1.1875e+00,3.2727e-04,2.8277e-05
6,3.0750e+00,5,1.2125e+00,4.6684e-04,3.4504e-05
6,3.0750e+00,6,1.2375e+00,6.2528e-04,4.5450e-05
6,3.0750e+00,7,1.2625e+00,5.5899e-04,3.8930e-05
6,3.0750e+00,8,1.2875e+00,5.1896e-04,3.4616e-05
6,3.0750e+00,9,1.3125e+00,5.0851e-04,3.3940e-05
6,3.0750e+00,10,1.3375e+00,5.6067e-04,3.7495e-05
6,3.0750e+00,11,1.3625e+00,5.9383e-04,3.6560e-05
6,3.0750e+00,12,1.3875e+00,5.7442e-04,3.3503e-05
6,3.0750e+00,13,1.4125e+00,7.0719e-04,3.9635e-05
6,3.0750e+00,14,1.4375e+00,7.5149e-04,3.8407e-05
6,3.0750e+00,15,1.4625e+00,9.8619e-04,4.9080e-05
6,3.0750e+00,16,1.4875e+00,1.1960e-03,5.3885e-05
6,3.0750e+00,17,1.5125e+00,1.3323e-03,5.8226e-05
6,3.0750e+00,18,1.5375e+00,1.1997e-03,5.0584e-05
6,3.0750e+00,19,1.5625e+00,1.1526e-03,4.8682e-05
6,3.0750e+00,20,1.5875e+00,1.0755e-03,4.5473e-05
6,3.0750e+00,21,1.6125e+00,1.0560e-03,4.2409e-05
6,3.0750e+00,22,1.6375e+00,1.2568e-03,4.9559e-05
6,3.0750e+00,23,1.6625e+00,1.5540e-03,5.9961e-05
6,3.0750e+00,24,1.6875e+00,1.5687e-03,5.6042e-05
6,3.0750e+00,25,1.7125e+00,1.7659e-03,6.2334e-05
6,3.0750e+00,26,1.7375e+00,1.6406e-03,5.7474e-05
6,3.0750e+00,27,1.7625e+00,1.6469e-03,5.7759e-05
6,3.0750e+00,28,1.7875e+00,1.5358e-03,5.2377e-05
6,3.0750e+00,29,1.8125e+00,1.7325e-03,5.9832e-05
6,3.0750e+00,30,1.8375e+00,1.7551e-03,6.0041e-05
6,3.0750e+00,31,1.8625e+00,1.7884e-03,5.9633e-05
6,3.0750e+00,32,1.8875e+00,1.9254e-03,6.3084e-05
6,3.0750e+00,33,1.9125e+00,1.9313e-03,6.2945e-05
6,3.0750e+00,34,1.9375e+00,1.9717e-03,6.2219e-05
6,3.0750e+00,35,1.9625e+00,2.0506e-03,6.4484e-05
6,3.0750e+00,36,1.9875e+00,1.9243e-03,5.8462e-05
6,3.0750e+00,37,2.0125e+00,2.0532e-03,6.2497e-05
6,3.0750e+00,38,2.0375e+00,2.0678e-03,6.1669e-05
6,3.0750e+00,39,2.0625e+00,2.1997e-03,6.5828e-05
6,3.0750e+00,40,2.0875e+00,2.2747e-03,6.6773e-05
7,3.3250e+00,1,1.1125e+00,3.9775e-05,8.1937e-06
7,3.3250e+00,2,1.1375e+00,1.0581e-04,1.7307e-05
7,3.3250e+00,3,1.1625e+00,1.8427e-04,2.4053e-05
7,3.3250e+00,4,1.1875e+00,2.5508e-04,2.6197e-05
7,3.3250e+00,5,1.2125e+00,3.9753e-04,3.7599e-05
7,3.3250e+00,6,1.2375e+00,3.9761e-04,3.3666e-05
7,3.3250e+00,7,1.2625e+00,3.0405e-04,2.4146e-05
7,3.3250e+00,8,1.2875e+00,3.4855e-04,2.7329e-05
7,3.3250e+00,9,1.3125e+00,3.5383e-04,2.7959e-05
7,3.3250e+00,10,1.3375e+00,3.7197e-04,2.8123e-05
7,3.3250e+00,11,1.3625e+00,3.5923e-04,2.4740e-05
7,3.3250e+00,12,1.3875e+00,4.8502e-04,3.4591e-05
7,3.3250e+00,13,1.4125e+00,4.7627e-04,3.1083e-05
7,3.3250e+00,14,1.4375e+00,5.2960e-04,3.2496e-05
7,3.3250e+00,15,1.4625e+00,6.0083e-04,3.3099e-05
7,3.3250e+00,16,1.4875e+00,8.0011e-04,4.1097e-05
7,3.3250e+00,17,1.5125e+00,9.3018e-04,4.6753e-05
7,3.3250e+00,18,1.5375e+00,8.4440e-04,4.1785e-05
7,3.3250e+00,19,1.5625e+00,7.6357e-04,3.7399e-05
7,3.3250e+00,20,1.5875e+00,7.6770e-04,3.6412e-05
7,3.3250e+00,21,1.6125e+00,7.9372e-04,3.8050e-05
7,3.3250e+00,22,1.6375e+00,8.7466e-04,4.0447e-05
