run,charge,nfiles,charge_per_file
38402,48904376,4,12226094.0
38410,24703368,3,8234456.0
38411,25431840,3,8477280.0
38412,73155266,6,12192544.333333334
38417,98223596,8,12277949.5
38419,146909870,12,12242489.166666666
38420,77697128,7,11099589.714285715
38421,55755176,5,11151035.2
38422,256230488,21,12201451.80952381
38423,138780962,12,11565080.166666666
38424,62579636,5,12515927.2
38425,152511674,13,11731667.23076923
38426,209324494,17,12313205.529411765
38427,84128902,6,14021483.666666666
38428,31610792,3,10536930.666666666
38429,169835798,14,12131128.42857143
38430,215926772,18,11995931.777777778
38431,305777422,26,11760670.076923076
38432,140848488,12,11737374.0
38433,147031042,13,11310080.153846154
38434,168304710,14,12021765.0
38435,65228032,6,10871338.666666666
38436,237761828,20,11888091.4
38437,260542644,22,11842847.454545455
38438,171273672,14,12233833.714285715
38439,87233236,8,10904154.5
38440,414208040,35,11834515.42857143
38441,251593710,21,11980652.857142856
38443,257563652,22,11707438.727272727
38445,17773546,2,8886773.0
38446,145840550,12,12153379.166666666
38447,199678850,18,11093269.444444444
38448,3204144,1,3204144.0
38449,173636304,16,10852269.0
38450,263099118,24,10962463.25
38451,198370586,18,11020588.111111112
38452,217853278,20,10892663.9
38453,174924270,16,10932766.875
38454,206786108,19,10883479.368421054
38455,252098296,23,10960795.47826087
38456,243234850,23,10575428.260869564
38457,288162180,27,10672673.333333334
38458,186621290,17,10977722.94117647
38459,244460776,23,10628729.391304348
38460,304000066,28,10857145.214285715
38461,253147806,24,10547825.25
38462,208406162,20,10420308.1
38463,245923166,23,10692311.56521739
38464,236242808,22,10738309.454545455
38465,238630256,22,10846829.818181818
38466,235036836,22,10683492.545454545
38467,241260976,22,10966408.0
38468,128602888,12,10716907.333333334
38469,233089882,22,10594994.636363637
38470,251428918,24,10476204.916666666
38471,252717578,24,10529899.083333334
38472,262661168,25,10506446.72
38473,206035406,19,10843968.736842105
38474,163841730,16,10240108.125
38475,240845568,22,10947525.818181818
38476,244351590,23,10623982.173913043
38477,201312858,19,10595413.578947369
38478,126946692,12,10578891.0
38479,65977954,6,10996325.666666666
38480,98687602,9,10965289.111111112
38483,31847200,3,10615733.333333334
38484,85446464,8,10680808.0
38485,42954230,4,10738557.5
38486,171441070,17,10084768.823529411
38487,203927994,20,10196399.7
38488,35478786,4,8869696.5
38489,64949638,7,9278519.714285715
38490,65457326,6,10909554.333333334
38491,96404854,9,10711650.444444444
38492,54395252,6,9065875.333333334
38493,285107864,27,10559550.518518519
38494,42869236,4,10717309.0
38495,31041824,3,10347274.666666666
38497,116921632,11,10629239.272727273
38498,184664148,18,10259119.333333334
38499,86076558,8,10759569.75
38500,131005628,12,10917135.666666666
38501,34301924,4,8575481.0
38506,8671916,4,2167979.0
38507,181810604,17,10694741.411764706
38508,245860456,23,10689585.043478262
38509,344292102,32,10759128.1875
38510,374414094,34,11012179.235294119
38511,242385002,22,11017500.090909092
38512,321033930,30,10701131.0
38513,324594630,30,10819821.0
38514,98119616,9,10902179.555555556
38515,291191060,27,10784854.074074075
38516,232147664,22,10552166.545454545
38517,353308758,33,10706326.0
38518,367392676,34,10805666.94117647
38519,283371186,26,10898891.76923077
38520,351782032,34,10346530.352941176
38521,393308544,37,10629960.64864865
38522,354155034,34,10416324.529411765
38523,359750036,35,10278572.457142858
38524,362596956,35,10359913.028571429
38525,362294292,35,10351265.485714287
38526,385937018,37,10430730.216216216
38527,100754766,10,10075476.6
38528,411285822,40,10282145.55
38529,406821618,39,10431323.538461538
38530,349928874,34,10292025.705882354
38531,192343378,19,10123335.684210526
38534,366481736,34,10778874.588235294
38536,186899104,19,9836794.94736842
38537,345750240,34,10169124.705882354
38538,346954532,33,10513773.696969697
38539,355389538,34,10452633.470588235
38540,398249748,38,10480256.52631579
38541,175429728,17,10319395.764705881
38542,238707408,23,10378582.956521738
38543,394181072,36,10949474.222222222
38544,364465432,33,11044407.030303031
38545,211431032,19,11127949.05263158
38548,367371176,35,10496319.314285714
38549,359786804,34,10581964.823529411
38550,353815970,34,10406352.05882353
38551,350768088,33,10629336.0
38552,349266344,33,10583828.606060605
38553,216733922,20,10836696.1
38554,95428734,9,10603192.666666666
38555,37043622,4,9260905.5
38558,123337876,12,10278156.333333334
38559,360770054,33,10932425.878787879
38560,359253456,33,10886468.363636363
38561,362609408,33,10988163.878787879
38562,462003902,42,11000092.904761905
38563,119967414,11,10906128.545454545
38568,65294374,8,8161796.75
38571,233125828,22,10596628.545454545
38572,235238272,22,10692648.727272727
38573,245390254,23,10669141.47826087
38574,237379348,22,10789970.363636363
38575,237006168,22,10773007.636363637
38576,257720254,24,10738343.916666666
38577,256171978,23,11137912.086956521
38578,298954256,28,10676937.714285715
38579,78002178,8,9750272.25
38580,249292488,23,10838803.826086957
38581,244526552,20,12226327.6
38582,239089904,21,11385233.523809524
38583,363692356,33,11020980.484848484
38584,486054670,44,11046697.045454545
38585,287941968,26,11074691.076923076
38586,283014,1,283014.0
38587,2106393854,12,175532821.16666666
38588,1069841312,6,178306885.33333334
38589,266638604,2,133319302.0
38590,1164010536,7,166287219.42857143
38595,9629308,1,9629308.0
38596,246981900,24,10290912.5
38597,242107208,23,10526400.347826088
38598,68247716,7,9749673.714285715
38600,287422158,25,11496886.32
38601,367449344,31,11853204.64516129
38602,366929868,31,11836447.35483871
38603,366970604,31,11837761.41935484
38604,399060506,34,11737073.705882354
38605,13846454,2,6923227.0
38606,389272742,33,11796143.696969697
38607,372067492,31,12002177.161290323
38608,336873128,30,11229104.266666668
38609,242387148,22,11017597.636363637
38610,243528636,22,11069483.454545455
38611,268477034,25,10739081.36
38612,262113964,24,10921415.166666666
38613,240887082,22,10949412.818181818
38614,302560492,28,10805731.857142856
38615,6334034,1,6334034.0
38616,253156504,23,11006804.52173913
38617,248431360,23,10801363.47826087
38618,272970460,25,10918818.4
38619,240142278,22,10915558.090909092
38620,269160554,24,11215023.083333334
38621,125511712,12,10459309.333333334
38622,249711016,23,10857000.695652174
38623,271256744,25,10850269.76
38624,264854238,24,11035593.25
38625,287121682,26,11043141.615384616
38626,292217592,27,10822873.777777778
38627,260795044,24,10866460.166666666
38628,239126532,22,10869387.818181818
38629,251047474,23,10915107.56521739
38630,261156204,24,10881508.5
38631,253379978,23,11016520.782608695
38632,239663094,22,10893777.0
38633,241732312,22,10987832.363636363
38634,297443388,27,11016421.777777778
38635,261547590,24,10897816.25
38636,147741658,14,10552975.57142857
38637,249862652,23,10863593.56521739
38638,238486582,22,10840299.181818182
38639,88041712,9,9782412.444444444
38640,238899930,22,10859087.727272727
38641,260738160,24,10864090.0
38642,270732764,25,10829310.56
38644,8963510,1,8963510.0
38645,247325250,22,11242056.818181818
38646,274738262,24,11447427.583333334
38647,82154890,8,10269361.25
38648,332423294,32,10388227.9375
38649,295961854,28,10570066.214285715
38650,236484906,22,10749313.909090908
38651,234951496,23,10215282.43478261
38652,237707668,23,10335116.0
38653,237832796,23,10340556.347826088
38654,234351668,23,10189202.956521738
38655,234846978,23,10210738.173913043
38656,243276080,23,10577220.869565217
38658,204437588,23,8888590.782608695
38659,230024908,24,9584371.166666666
38660,47550982,5,9510196.4
38661,42542686,5,8508537.2
38662,271010690,31,8742280.322580645
38663,272474508,32,8514828.375
38664,269025460,32,8407045.625
38665,274454928,33,8316816.0
38666,277456460,33,8407771.515151516
38667,269035024,32,8407344.5
38668,276851464,33,8389438.303030303
38669,105459100,3,35153033.333333336
38670,165276960,15,11018464.0
38671,94604566,9,10511618.444444444
38672,433922970,36,12053415.833333334
38673,392669628,31,12666762.193548387
38674,378866778,30,12628892.6
38675,243551102,20,12177555.1
38676,372056952,30,12401898.4
38677,301148920,25,12045956.8
38681,244873182,23,10646660.086956521
38682,268139822,25,10725592.88
38683,38729862,8,4841232.75
38684,241996156,22,10999825.272727273
38685,244210668,23,10617855.130434783
38686,270182242,25,10807289.68
38687,271076976,25,10843079.04
38689,248046630,23,10784636.086956521
38690,248071850,23,10785732.608695652
38691,276038332,26,10616858.923076924
38692,241684444,22,10985656.545454545
38693,243420302,22,11064559.181818182
38694,263123342,24,10963472.583333334
38695,12862496,2,6431248.0
38696,249621916,22,11346450.727272727
38697,247164718,21,11769748.476190476
38698,276248956,24,11510373.166666666
38699,245504024,22,11159273.818181818
38700,248359278,21,11826632.285714285
38701,218380332,20,10919016.6
38702,258417954,24,10767414.75
38703,184381852,17,10845991.294117646
38704,263847500,24,10993645.833333334
38705,257055792,23,11176338.782608695
38706,179573044,17,10563120.235294119
38707,242769976,22,11034998.909090908
38708,240250942,22,10920497.363636363
38709,269976418,25,10799056.72
38710,98771056,8,12346382.0
38711,250427702,23,10888160.956521738
38712,248754984,23,10815434.086956521
38713,260869030,23,11342131.739130436
38714,364550372,33,11046980.969696969
38715,311253492,28,11116196.142857144
38716,153193964,14,10942426.0
38717,223234322,20,11161716.1
38718,33191236,3,11063745.333333334
38719,216298640,20,10814932.0
38720,134402432,10,13440243.2
38721,356955744,33,10816840.727272727
