,charge,filename,run,stub
234,12289176,clas_038382.A08,038382,08
235,11153104,clas_038480.A02,038480,02
236,12721904,clas_037788.A17,037788,17
237,12228076,clas_038120.A02,038120,02
238,11324678,clas_038517.A01,038517,01
239,12445494,clas_038440.A22,038440,22
240,12150606,clas_038089.A00,038089,00
241,10937898,clas_038519.A14,038519,14
242,10977238,clas_038642.A11,038642,11
243,12098836,clas_038143.A05,038143,05
244,10788854,clas_038534.A12,038534,12
245,12163096,clas_038650.A11,038650,11
246,10944576,clas_038524.A04,038524,04
247,13035266,clas_037803.A05,037803,05
248,12401412,clas_038204.A14,038204,14
249,13312308,clas_037765.A01,037765,01
250,11327206,clas_038618.A18,038618,18
251,10568852,clas_038650.A00,038650,00
252,12416272,clas_038314.A12,038314,12
253,10733562,clas_038560.A18,038560,18
254,12150036,clas_038289.A04,038289,04
255,13341812,clas_037706.A11,037706,11
256,12050970,clas_038646.A11,038646,11
257,13612226,clas_038070.A20,038070,20
258,10986712,clas_038641.A19,038641,19
259,12162840,clas_038120.A14,038120,14
260,10473856,clas_038684.A07,038684,07
261,10561406,clas_038529.A11,038529,11
262,10433370,clas_038522.A06,038522,06
263,11189940,clas_038118.A12,038118,12
264,12778644,clas_037814.A13,037814,13
265,10895536,clas_038628.A08,038628,08
266,11467250,clas_038212.A20,038212,20
267,12618118,clas_038365.A07,038365,07
268,10952760,clas_038509.A16,038509,16
269,5845726,clas_038526.A36,038526,36
270,11405290,clas_038581.A02,038581,02
271,77710572,clas_037854.A09,037854,09
272,14041326,clas_037762.A04,037762,04
273,11603388,clas_038614.A01,038614,01
274,10962586,clas_038672.A06,038672,06
275,10827894,clas_038549.A30,038549,30
276,10747536,clas_038176.A18,038176,18
277,13482996,clas_037715.A19,037715,19
278,12044466,clas_038196.A02,038196,02
279,12127314,clas_038094.A00,038094,00
280,19507554,clas_038734.A10,038734,10
281,19327892,clas_038734.A00,038734,00
282,12107480,clas_038176.A17,038176,17
283,10900970,clas_038489.A00,038489,00
284,11011200,clas_038723.A06,038723,06
285,7544208,clas_038642.A24,038642,24
286,10511238,clas_038524.A18,038524,18
287,10843152,clas_038450.A01,038450,01
288,12724268,clas_037772.A17,037772,17
289,11132640,clas_038512.A12,038512,12
290,13019900,clas_037849.A16,037849,16
291,10985930,clas_038694.A04,038694,04
292,11604970,clas_037846.A04,037846,04
293,10431014,clas_038524.A23,038524,23
294,10913036,clas_038510.A18,038510,18
295,12408628,clas_038440.A21,038440,21
296,12123134,clas_038081.A01,038081,01
297,195830958,clas_038112.A01,038112,01
298,11035422,clas_038624.A16,038624,16
299,11164376,clas_038447.A07,038447,07
300,11075446,clas_038626.A20,038626,20
301,11779960,clas_038606.A27,038606,27
302,11817292,clas_038401.A07,038401,07
303,10816658,clas_038561.A00,038561,00
304,10919016,clas_038466.A08,038466,08
305,12282624,clas_038320.A10,038320,10
306,11022820,clas_038691.A15,038691,15
307,11408972,clas_038518.A24,038518,24
308,11320186,clas_038176.A05,038176,05
309,1263540,clas_037669.A00,037669,00
310,12290914,clas_038384.A02,038384,02
311,7025030,clas_038613.A21,038613,21
312,12028946,clas_038354.A13,038354,13
313,5371976,clas_038649.A27,038649,27
314,10757404,clas_038728.A12,038728,12
315,13317454,clas_037781.A13,037781,13
316,12072376,clas_038209.A10,038209,10
317,7373842,clas_038464.A21,038464,21
318,12451094,clas_038422.A11,038422,11
319,12742102,clas_038278.A03,038278,03
320,11078780,clas_038650.A02,038650,02
321,11739764,clas_038400.A12,038400,12
322,10906770,clas_038648.A28,038648,28
323,10674120,clas_038176.A16,038176,16
324,13900078,clas_037683.A03,037683,03
325,11018038,clas_038507.A15,038507,15
326,11543930,clas_038719.A11,038719,11
327,11239484,clas_038201.A09,038201,09
328,12657726,clas_038305.A11,038305,11
329,10730260,clas_038611.A01,038611,01
330,18970372,clas_038730.A09,038730,09
331,10999864,clas_038693.A05,038693,05
332,10280504,clas_038470.A11,038470,11
333,11986658,clas_038284.A13,038284,13
334,13398822,clas_037708.A02,037708,02
335,11752888,clas_038430.A18,038430,18
336,12040930,clas_038198.A07,038198,07
337,10748210,clas_038572.A11,038572,11
338,11315320,clas_038582.A05,038582,05
339,14054076,clas_037673.A16,037673,16
340,3334228,clas_037710.A19,037710,19
341,11634366,clas_038600.A16,038600,16
342,12884502,clas_038092.A04,038092,04
343,12875992,clas_038422.A13,038422,13
344,13056524,clas_038265.A03,038265,03
345,10404880,clas_038538.A08,038538,08
346,13082144,clas_038049.A05,038049,05
347,13274470,clas_037822.A05,037822,05
348,12080566,clas_038383.A17,038383,17
349,11565452,clas_038631.A19,038631,19
350,10973610,clas_038619.A13,038619,13
351,10817240,clas_038640.A10,038640,10
352,14106690,clas_037687.A18,037687,18
353,10675644,clas_038574.A20,038574,20
354,10969156,clas_038711.A09,038711,09
355,12615284,clas_038320.A03,038320,03
356,11031120,clas_038706.A06,038706,06
357,12113832,clas_038143.A09,038143,09
358,11457278,clas_038203.A15,038203,15
359,13202174,clas_038674.A19,038674,19
360,464802,clas_038528.A39,038528,39
361,11023620,clas_038634.A07,038634,07
362,10877618,clas_038624.A18,038624,18
363,12307008,clas_038379.A01,038379,01
364,10446214,clas_038748.A06,038748,06
365,10622094,clas_038176.A06,038176,06
366,12566914,clas_038284.A02,038284,02
367,13965526,clas_037744.A10,037744,10
368,12687208,clas_038131.A02,038131,02
369,13670976,clas_038337.A16,038337,16
370,11349794,clas_038477.A11,038477,11
371,12810974,clas_038048.A13,038048,13
372,14186582,clas_037673.A04,037673,04
373,8575604,clas_038668.A13,038668,13
374,12198478,clas_038275.A05,038275,05
375,12676602,clas_038220.A04,038220,04
376,12400946,clas_038356.A00,038356,00
377,12102966,clas_038089.A04,038089,04
378,10922840,clas_038613.A04,038613,04
379,10944556,clas_038522.A20,038522,20
380,11827086,clas_038391.A07,038391,07
381,11044254,clas_038634.A20,038634,20
382,12190044,clas_038604.A10,038604,10
383,12093586,clas_038354.A11,038354,11
384,11096556,clas_038608.A09,038608,09
385,11531190,clas_038098.A03,038098,03
386,10720802,clas_038574.A15,038574,15
387,14405436,clas_038068.A02,038068,02
388,12988050,clas_038191.A14,038191,14
389,12388654,clas_038225.A19,038225,19
390,10956408,clas_038463.A00,038463,00
391,11454708,clas_038200.A01,038200,01
392,11446288,clas_038100.A04,038100,04
393,10867308,clas_038737.A14,038737,14
394,13644282,clas_037723.A16,037723,16
395,11268876,clas_038690.A16,038690,16
396,10126568,clas_038534.A05,038534,05
397,11210106,clas_038746.A11,038746,11
398,12321196,clas_038211.A01,038211,01
