FILE, A, dA, STAT
352, 0.0264161, 0.000193083, 0.00694415
353, 0.0273207, 0.00109772, 0.00740254
354, 0.0194992, -0.00672383, 0.0066324
355, 0.0283627, 0.00213968, 0.00801264
356, 0.0263124, 8.94431e-05, 0.00722358
357, 0.0197119, -0.00651111, 0.00700526
358, 0.0288957, 0.00267272, 0.00788811
359, 0.0228899, -0.00333309, 0.00829499
360, 0.133269, 0.107046, 0.14253
361, 0.01466, -0.011563, 0.00896912
362, 0.0256932, -0.000529816, 0.00988718
363, 0.0257429, -0.000480116, 0.0075968
364, 0.0249564, -0.00126663, 0.0078301
365, 0.0366538, 0.0104308, 0.00960514
366, 0.0286896, 0.00246658, 0.00903247
367, 0.0244038, -0.00181922, 0.00677659
368, 0.0224844, -0.0037386, 0.00668767
369, 0.0189733, -0.00724971, 0.00957083
370, 0.0295519, 0.00332888, 0.00888754
371, 0.0428039, 0.0165809, 0.0115769
372, 0.0453298, 0.0191068, 0.0115118
373, 0.0341684, 0.00794544, 0.00967986
374, 0.0254773, -0.000745733, 0.0108297
375, 0.0307078, 0.00448484, 0.00758665
376, 0.0283768, 0.00215383, 0.00780806
377, 0.0252257, -0.000997289, 0.00709477
378, 0.0274957, 0.0012727, 0.00729482
379, 0.0193735, -0.0068495, 0.0083965
380, 0.0278574, 0.00163442, 0.00747418
381, 0.0273117, 0.00108867, 0.00783805
382, 0.0325956, 0.00637262, 0.00760076
383, 0.0261464, -7.65563e-05, 0.00713476
384, 0.026358, 0.000134977, 0.00765753
385, 0.0325833, 0.00636029, 0.00733824
386, 0.0213213, -0.00490174, 0.00671814
387, 0.0275861, 0.00136314, 0.00726722
388, 0.025393, -0.000830011, 0.00678341
389, 0.0308116, 0.00458857, 0.00780946
390, 0.0217208, -0.00450224, 0.00751788
391, 0.0300395, 0.00381649, 0.00753526
392, 0.0268559, 0.000632892, 0.00714223
393, 0.0167907, -0.00943229, 0.00990577
394, 0.0102865, -0.0159365, 0.0111428
395, 0.019398, -0.00682497, 0.00738004
396, 0.0327366, 0.00651355, 0.00754586
397, 0.0249639, -0.00125913, 0.00713954
398, 0.0242941, -0.00192894, 0.00708528
399, 0.022376, -0.00384703, 0.00707013
